Fecha,Caudal,Caudal_log
2015-12-19,1.703,0.9943622672943105
2015-12-20,1.602,0.9562803800903136
2015-12-21,1.554,0.9376607576103475
2015-12-22,1.53,0.9282193027394289
2015-12-23,1.505,0.9182887345368281
2015-12-24,1.46,0.9001613499442714
2015-12-25,1.448,0.8952713646500796
2015-12-26,1.407,0.8783811588009349
2015-12-27,1.424,0.885419068207068
2015-12-28,1.42,0.883767540168595
2015-12-29,1.424,0.885419068207068
2015-12-30,1.546,0.9345235001352148
2015-12-31,1.493,0.9134868045414208
2016-01-01,0.222391304347826,0.20080902581501525
2016-01-02,0.215208333333333,0.19491552985765503
2016-01-03,0.199958333333333,0.1822868339689018
2016-01-04,0.199958333333333,0.1822868339689018
2016-01-05,0.210125,0.19072366005809854
2016-01-06,0.240625,0.2156152848934182
2016-01-07,0.234270833333333,0.2104803773608121
2016-01-08,0.27875,0.24588303828369917
2016-01-09,0.348645833333333,0.2991010026027194
2016-01-10,0.409645833333333,0.3433384908054893
2016-01-11,1.01452083333333,0.7003813672852067
2016-01-12,0.423625,0.35320643561237813
2016-01-13,0.321958333333333,0.2791142230306264
2016-01-14,0.268583333333333,0.23790079228911648
2016-01-15,0.222833333333333,0.20117057050380194
2016-01-16,0.210125,0.19072366005809854
2016-01-17,0.2063125,0.1875681858002897
2016-01-18,0.189791666666667,0.1737782217688809
2016-01-19,0.179625,0.16519659135936007
2016-01-20,0.172,0.15871169115482087
2016-01-21,0.172,0.15871169115482087
2016-01-22,0.165645833333333,0.15327529679130406
2016-01-23,0.1496587500000001,0.13946515920895658
2016-01-24,0.1496587500000001,0.13946515920895658
2016-01-25,0.348645833333333,0.2991010026027194
2016-01-26,0.2063125,0.1875681858002897
2016-01-27,0.1496587500000001,0.13946515920895658
2016-01-28,0.1496587500000001,0.13946515920895658
2016-01-29,0.1986875,0.18122720821291824
2016-01-30,0.15675,0.14561434880497193
2016-01-31,0.1496587500000001,0.13946515920895658
2016-02-01,0.1496587500000001,0.13946515920895658
2016-02-02,0.1496587500000001,0.13946515920895658
2016-02-03,0.1496587500000001,0.13946515920895658
2016-02-04,0.1496587500000001,0.13946515920895658
2016-02-05,0.1496587500000001,0.13946515920895658
2016-02-06,0.151666666666667,0.14121016855152382
2016-02-07,0.1496587500000001,0.13946515920895658
2016-02-08,0.194875,0.1780415774017896
2016-02-09,0.154208333333333,0.14341468327675097
2016-02-10,0.3664375,0.31220698805496944
2016-02-11,0.1986875,0.18122720821291824
2016-02-12,0.1496587500000001,0.13946515920895658
2016-02-13,0.1496587500000001,0.13946515920895658
2016-02-14,0.1496587500000001,0.13946515920895658
2016-02-15,0.1496587500000001,0.13946515920895658
2016-02-16,0.154208333333333,0.14341468327675097
2016-02-17,0.166916666666667,0.15436494258563996
2016-02-18,0.166916666666667,0.15436494258563996
2016-02-19,0.1496587500000001,0.13946515920895658
2016-02-20,0.1496587500000001,0.13946515920895658
2016-02-21,0.1496587500000001,0.13946515920895658
2016-02-22,0.1496587500000001,0.13946515920895658
2016-02-23,0.1496587500000001,0.13946515920895658
2016-02-24,0.1496587500000001,0.13946515920895658
2016-02-25,0.170729166666667,0.15762677406233974
2016-02-26,0.205041666666667,0.18651414449141962
2016-02-27,0.219020833333333,0.19804794086444116
2016-02-28,0.1496587500000001,0.13946515920895658
2016-02-29,0.1496587500000001,0.13946515920895658
2016-03-01,0.1496587500000001,0.13946515920895658
2016-03-02,0.496333333333333,0.40301767113168513
2016-03-03,0.296541666666667,0.25970046328709007
2016-03-04,0.250791666666667,0.22377668417662663
2016-03-05,0.285104166666667,0.25083977861553725
2016-03-06,0.378291666666667,0.32084480960454714
2016-03-07,0.637166666666667,0.4929671054646777
2016-03-08,0.7636875,0.5674067876959302
2016-03-09,0.3054375,0.2665382336333988
2016-03-10,0.240625,0.2156152848934182
2016-03-11,0.288916666666667,0.2538020722680027
2016-03-12,0.2025,0.1844027229977792
2016-03-13,0.194875,0.1780415774017896
2016-03-14,0.166916666666667,0.15436494258563996
2016-03-15,0.196145833333333,0.1791045823202614
2016-03-16,0.219020833333333,0.19804794086444116
2016-03-17,0.1834375,0.16842333911397692
2016-03-18,0.353729166666667,0.3028631298640769
2016-03-19,0.2444375,0.21868362059211638
2016-03-20,0.201229166666667,0.18334533810653433
2016-03-21,0.344833333333333,0.29627008963831425
2016-03-22,0.2596875,0.23086367432934787
2016-03-23,0.294,0.2577381960787088
2016-03-24,0.2520625,0.2247921915597342
2016-03-25,0.15675,0.14561434880497193
2016-03-26,0.1496587500000001,0.13946515920895658
2016-03-27,0.1496587500000001,0.13946515920895658
2016-03-28,0.1496587500000001,0.13946515920895658
2016-03-29,0.1496587500000001,0.13946515920895658
2016-03-30,0.1496587500000001,0.13946515920895658
2016-03-31,0.173270833333333,0.15979543247770175
2016-04-01,0.196145833333333,0.1791045823202614
2016-04-02,0.2063125,0.1875681858002897
2016-04-03,0.250791666666667,0.22377668417662663
2016-04-04,0.676479166666667,0.5166958601643616
2016-04-05,0.3245,0.28103502972998734
2016-04-06,0.1910625,0.1748457659064577
2016-04-07,0.155479166666667,0.14451512085679444
2016-04-08,0.1496587500000001,0.13946515920895658
2016-04-09,0.81925,0.5984243282450588
2016-04-10,0.66175,0.5078712639395541
2016-04-11,0.447770833333333,0.370025017165853
2016-04-12,0.8245625,0.6013402322681805
2016-04-13,0.8544375,0.6175814155731729
2016-04-14,0.3664375,0.31220698805496944
2016-04-15,0.2596875,0.23086367432934787
2016-04-16,0.375333333333333,0.31869612598095015
2016-04-17,0.8839375,0.6333640015062343
2016-04-18,0.7088125,0.53579868483189
2016-04-19,0.554520833333333,0.44116735237819005
2016-04-20,1.00020833333333,0.6932513418016398
2016-04-21,0.968291666666667,0.6771659922558901
2016-04-22,1.88570833333333,1.0597703926434465
2016-04-23,1.58429166666667,0.9494514536475623
2016-04-24,1.052,0.7188149273085231
2016-04-25,0.900916666666667,0.6423362259682014
2016-04-26,0.921333333333333,0.6530193894691657
2016-04-27,1.049125,0.7174128727644834
2016-04-28,1.49420833333333,0.9139713775835767
2016-04-29,1.22145833333333,0.7981638871221958
2016-04-30,0.84375,0.6118015411059929
2016-05-01,0.758,0.5641767992629853
2016-05-02,0.706458333333333,0.5344200726196195
2016-05-03,0.681458333333333,0.5196614724283899
2016-05-04,0.694208333333333,0.5272155717455922
2016-05-05,0.673291666666667,0.5147927443271019
2016-05-06,1.057125,0.7213093769334099
2016-05-07,2.08354166666667,1.1260788281412075
2016-05-08,1.065875,0.7255538654788531
2016-05-09,1.14958333333333,0.7652740249086114
2016-05-10,0.817208333333333,0.5973014407022668
2016-05-11,0.699833333333333,0.5305302070403259
2016-05-12,0.6180625,0.48122944582598354
2016-05-13,0.6654375,0.5100878516790814
2016-05-14,0.647333333333333,0.49915781889830846
2016-05-15,1.15,0.7654678421395714
2016-05-16,0.8805,0.631537698928254
2016-05-17,0.964208333333333,0.6750892803419112
2016-05-18,1.33616666666667,0.8485114094528672
2016-05-19,1.03770833333333,0.7118258103945089
2016-05-20,0.909083333333333,0.6466231966632104
2016-05-21,0.833541666666666,0.606249433477829
2016-05-22,1.28883333333333,0.8280422263200883
2016-05-23,1.56791666666667,0.9430949346262074
2016-05-24,3.146625,1.4222947503609287
2016-05-25,2.21041666666667,1.1664007314181801
2016-05-26,1.40929166666667,0.8793327900551113
2016-05-27,1.21533333333333,0.7954028812642914
2016-05-28,2.171375,1.1541652477883588
2016-05-29,1.85516666666667,1.0491302185202676
2016-05-30,1.229625,0.8018334098963303
2016-05-31,1.17041666666667,0.7749191614091561
2016-06-01,1.205125,0.7907841966344329
2016-06-02,0.992791666666666,0.6895365032362282
2016-06-03,0.890708333333333,0.6369515384006869
2016-06-04,0.847833333333333,0.6140137815621594
2016-06-05,0.772291666666667,0.5722734360799022
2016-06-06,0.719208333333333,0.541863913550175
2016-06-07,0.711041666666667,0.5371023468442102
2016-06-08,0.771791666666667,0.5719912756698381
2016-06-09,0.77025,0.5711207795497463
2016-06-10,0.741666666666667,0.5548425091827651
2016-06-11,0.694208333333333,0.5272155717455922
2016-06-12,0.673833333333333,0.5151164051831467
2016-06-13,1.1584375,0.769384580301155
2016-06-14,1.3713125,0.8634435993261678
2016-06-15,0.913166666666667,0.6487598098553048
2016-06-16,2.41958333333333,1.2295187112936736
2016-06-17,1.72029166666667,1.0007391049512964
2016-06-18,1.66883333333333,0.9816414231122834
2016-06-19,1.6525625,0.9755261539051256
2016-06-20,2.93108333333333,1.368915045231392
2016-06-21,2.969875,1.3787346080573042
2016-06-22,2.8533125,1.3489331679871117
2016-06-23,2.38208333333333,1.2184918904251376
2016-06-24,2.03672916666667,1.1107810041702222
2016-06-25,1.71583333333333,0.9990988430614687
2016-06-26,2.1109375,1.1349241277104787
2016-06-27,1.77739583333333,1.0215137380779884
2016-06-28,1.98535416666667,1.0937183886059076
2016-06-29,2.25935416666667,1.1815290673681011
2016-06-30,2.47566666666667,1.2457863071393473
2016-07-01,3.2490625,1.4466983703678682
2016-07-02,3.40591666666667,1.4829483345986245
2016-07-03,2.78752083333333,1.3317116713704138
2016-07-04,2.6589375,1.2971728047214663
2016-07-05,2.6931875,1.306489906311886
2016-07-06,4.201875,1.6490191375182226
2016-07-07,2.439,1.235180731450129
2016-07-08,2.03672916666667,1.1107810041702222
2016-07-09,1.750875,1.011919042887562
2016-07-10,1.619125,0.962840292527135
2016-07-11,1.62522916666667,0.9651681938203281
2016-07-12,1.5783125,0.9471351151691362
2016-07-13,1.44604166666667,0.8944710717342309
2016-07-14,1.37458333333333,0.8648219834989611
2016-07-15,1.25004166666667,0.8109487345633831
2016-07-16,1.2235,0.7990825309686141
2016-07-17,1.26433333333333,0.8172803815410538
2016-07-18,2.15964583333333,1.150459943258533
2016-07-19,1.5064375,0.9188624222419729
2016-07-20,3.19358333333333,1.4335555792690466
2016-07-21,2.1109375,1.1349241277104787
2016-07-22,2.09666666666667,1.1303262641576384
2016-07-23,1.8993125,1.0644736399216217
2016-07-24,1.67095833333333,0.9824373343555789
2016-07-25,1.643625,0.9721510813707769
2016-07-26,1.519125,0.9239116190055162
2016-07-27,1.954625,1.0833717392518247
2016-07-28,1.84835416666667,1.0467413420915384
2016-07-29,1.79983333333333,1.029559891600021
2016-07-30,1.65464583333333,0.9763112496878764
2016-07-31,1.60933333333333,0.9590947608657188
2016-08-01,1.8825625,1.0586796554932294
2016-08-02,2.0316875,1.1091193951860059
2016-08-03,1.7855625,1.0244498278504204
2016-08-04,1.85854166666667,1.050311588025194
2016-08-05,1.61589583333333,0.9616066137399696
2016-08-06,1.499125,0.9159406706098596
2016-08-07,1.425625,0.8860892231410337
2016-08-08,1.44195833333333,0.8928003130258826
2016-08-09,1.51708333333333,0.923100823802703
2016-08-10,2.13172916666667,1.141585301422335
2016-08-11,1.71052083333333,0.9971408058474814
2016-08-12,1.52975,0.9281204836277323
2016-08-13,1.444,0.8936360413093488
2016-08-14,1.4471238471673253,0.8949133950176923
2016-08-15,1.450247694334651,0.8961891191748315
2016-08-16,1.4533715415019763,0.8974632179331858
2016-08-17,1.4564953886693017,0.8987356954293233
2016-08-18,1.4596192358366273,0.9000065557840408
2016-08-19,1.4627430830039527,0.901275803102444
